genotype,gene_name
ADL::osm-9 Rescue,osm-9; Ex[ADL::osm-9] (-)
ADL::osm-9 Rescue+,osm-9; Ex[ADL::osm-9] (+)
ASH::osm-9 Rescue,osm-9; Ex[ASH::osm-9] (-)
ASH::osm-9 Rescue+,osm-9; Ex[ASH::osm-9] (+)
AWC-,AWC-
AWC::osm-9 Rescue,osm-9; Ex[AWC::osm-9] (-)
AWC::osm-9 Rescue +,osm-9; Ex[AWC::osm-9] (+)
CX2065,odr-1(n1936)
CX6239,ocr-2(ak47); kyEx687[sra-6p::ocr-2] (-)
CX6239(+),ocr-2(ak47); kyEx687[sra-6p::ocr-2] (+)
CX6239+,ocr-2(ak47); kyEx687[sra-6p::ocr-2] (+)
CX6381,ocr-2(ak47); kyEx692[srh-220p::ocr-2] (-)
CX6381(+),ocr-2(ak47); kyEx692[srh-220p::ocr-2] (+)
CX6381+,ocr-2(ak47); kyEx692[srh-220p::ocr-2] (+)
CX7154,tax4(ks28); ocr-2(ak47)
DA521,egl-4(ad450)
JH113,cng-3(jh113)
MT1074,egl-4(n479)
N2,N2
NL1137,gpa-5(pk376)
NL1146,gpa-6(pk480)
NL2330,gpa-13(pk1270)
NL334,gpa-2(pk16)
NL335,gpa-3(pk35)
nsy-1,nsy-1
ocr-2,ocr-2
odr-3,odr-3
osm-9,osm-9
py7513(-),tax-4(p678); Ex[ceh-36delp::tax-4] (-)
PY7513,tax-4(p678); Ex[ceh-36delp::tax-4] (-)
py7513(+),tax-4(p678); Ex[ceh-36delp::tax-4] (+)
PY7513+,tax-4(p678); Ex[ceh-36delp::tax-4] (+)
tax-4(ks28),tax-4(ks28)
tax-4(p678),tax-4(p678)
tax-4(p678)::ocr-2,tax-4(p678); ocr-2
tm1896,nsy-5(tm1896)
glc-3,glc-3(ok321)
glr-1,glr-1(n2461)
